test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci Additive 1.2 2 0.0000000 0.28 0.36 0.2 0.26 0.25 0.39 0.17 0.23 0.27 0.4 0.22 0.25
PowerTwoLoci Additive 1.2 2 0.0000500 0.11 0.24 0.08 0.11 0.11 0.22 0.04 0.09 0.14 0.25 0.07 0.12
PowerTwoLoci Additive 1.2 2 0.0001000 0.03 0.1 0 0.02 0.03 0.05 0.01 0.02 0.05 0.07 0.01 0.02
PowerTwoLoci Additive 1.2 2 0.0001500 0.02 0.1 0.02 0.02 0.05 0.11 0 0.03 0.05 0.1 0.01 0.04
PowerTwoLoci Additive 1.2 2 0.0002000 0.06 0.11 0.05 0.05 0.07 0.12 0.05 0.07 0.08 0.14 0.04 0.07
PowerTwoLoci Additive 1.6 2 0.0000000 0.27 0.41 0.21 0.26 0.27 0.34 0.18 0.25 0.28 0.4 0.24 0.26
PowerTwoLoci Additive 1.6 2 0.0000500 0.18 0.27 0.08 0.14 0.15 0.24 0.09 0.1 0.17 0.27 0.1 0.14
PowerTwoLoci Additive 1.6 2 0.0001000 0.05 0.1 0.01 0.01 0.04 0.11 0.03 0.04 0.06 0.12 0.03 0.04
PowerTwoLoci Additive 1.6 2 0.0001500 0.02 0.12 0.01 0.01 0.02 0.13 0 0.01 0.03 0.13 0.01 0.02
PowerTwoLoci Additive 1.6 2 0.0002000 0.06 0.16 0.03 0.03 0.07 0.13 0.02 0.06 0.06 0.14 0.03 0.04
PowerTwoLoci Additive 2.0 2 0.0000000 0.32 0.45 0.24 0.28 0.29 0.44 0.2 0.28 0.33 0.47 0.23 0.28
PowerTwoLoci Additive 2.0 2 0.0000500 0.17 0.31 0.09 0.15 0.15 0.26 0.1 0.14 0.19 0.31 0.11 0.17
PowerTwoLoci Additive 2.0 2 0.0001000 0.04 0.12 0.01 0.01 0.03 0.1 0.01 0.01 0.03 0.12 0.01 0.02
PowerTwoLoci Additive 2.0 2 0.0001500 0.05 0.07 0.02 0.04 0.04 0.11 0.01 0.03 0.04 0.1 0.01 0.02
PowerTwoLoci Additive 2.0 2 0.0002000 0.06 0.15 0.03 0.05 0.06 0.12 0.02 0.06 0.06 0.12 0.04 0.06
PowerTwoLoci Additive 2.4 2 0.0000000 0.36 0.49 0.26 0.31 0.31 0.44 0.21 0.28 0.38 0.49 0.23 0.31
PowerTwoLoci Additive 2.4 2 0.0000500 0.19 0.3 0.13 0.18 0.2 0.31 0.11 0.16 0.2 0.32 0.14 0.19
