MAFSample2 mixProp haplotypeLength Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_sumOfHalves_01 Training_mTDT2G_cv2_sumOfHalves_05 Training_mTDT2G_cv2_sumOfHalves_001 Training_mTDT2G_cv2_sumOfHalves_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 
0.1 0.833 6 0.011 0.05 0.001 0.004 0.011 0.05 0.002 0.005 0.02 0.079 0.005 0.013 0.009 0.046 0 0.004 0.012 0.053 0.003 0.007 0.01 0.053 0.001 0.005 0.013 0.049 0.002 0.005 0.008 0.046 0 0.005 0.005 0.057 0.002 0.003 0.01 0.047 0.003 0.006 0.009 0.05 0.002 0.008
0.3 0.833 6 0.009 0.048 0.002 0.004 0.01 0.049 0.001 0.002 0.021 0.072 0.005 0.014 0.007 0.053 0 0.003 0.009 0.042 0.002 0.005 0.012 0.06 0.001 0.005 0.007 0.045 0.002 0.005 0.012 0.057 0 0.005 0.006 0.032 0.001 0.002 0.011 0.053 0.004 0.007 0.01 0.056 0.003 0.008
0.5 0.833 6 0.01 0.059 0.002 0.008 0.007 0.048 0.001 0.003 0.022 0.073 0.003 0.009 0.012 0.051 0 0.005 0.01 0.044 0 0.003 0.009 0.037 0.001 0.003 0.007 0.047 0.001 0.003 0.008 0.041 0 0.002 0.009 0.039 0 0.004 0.011 0.056 0.002 0.004 0.012 0.067 0.001 0.006
0.1 0.5 8 0.01 0.058 0 0.004 0.016 0.049 0.003 0.008 0.026 0.079 0.003 0.012 0.012 0.055 0.002 0.007 0.013 0.059 0.001 0.008 0.005 0.042 0 0.001 0.01 0.057 0.002 0.003 0.007 0.035 0 0.004 0.011 0.054 0 0.002 0.007 0.055 0 0.004 0.008 0.055 0 0.005
0.3 0.5 8 0.009 0.063 0.001 0.005 0.008 0.056 0 0.004 0.019 0.081 0.003 0.012 0.014 0.063 0.001 0.008 0.009 0.046 0 0.005 0.004 0.042 0 0.002 0.009 0.055 0.001 0.006 0.009 0.049 0 0.005 0.008 0.047 0.001 0.006 0.009 0.044 0.001 0.004 0.01 0.049 0 0.007
0.5 0.5 8 0.008 0.05 0 0.003 0.007 0.05 0.001 0.003 0.027 0.095 0.004 0.017 0.012 0.049 0.001 0.006 0.013 0.047 0.001 0.002 0.009 0.041 0.001 0.006 0.007 0.051 0 0.004 0.007 0.041 0 0.002 0.009 0.047 0.001 0.006 0.011 0.045 0 0.003 0.014 0.051 0 0.005
0.1 0.75 8 0.012 0.057 0.002 0.006 0.011 0.056 0.001 0.005 0.023 0.077 0.007 0.012 0.008 0.046 0.001 0.005 0.011 0.049 0.001 0.008 0.011 0.049 0 0.005 0.006 0.052 0.001 0.003 0.012 0.045 0.001 0.007 0.012 0.055 0 0.004 0.015 0.047 0.002 0.01 0.016 0.061 0.002 0.013
0.3 0.75 8 0.015 0.054 0.002 0.005 0.012 0.052 0.002 0.007 0.021 0.083 0.004 0.014 0.009 0.043 0.003 0.007 0.011 0.063 0 0.005 0.009 0.045 0.002 0.003 0.007 0.043 0 0.002 0.011 0.059 0.001 0.007 0.008 0.051 0 0.003 0.015 0.053 0.002 0.011 0.02 0.066 0.003 0.011
0.5 0.75 8 0.008 0.042 0.001 0.003 0.01 0.041 0 0.005 0.024 0.081 0.006 0.011 0.013 0.061 0.001 0.008 0.009 0.051 0.002 0.005 0.007 0.042 0 0.004 0.007 0.058 0.002 0.003 0.006 0.035 0 0 0.009 0.045 0 0.002 0.015 0.051 0.003 0.007 0.016 0.066 0.002 0.011
0.1 0.833 8 0.009 0.06 0.001 0.004 0.008 0.043 0.001 0.004 0.022 0.07 0.005 0.013 0.012 0.045 0.002 0.006 0.012 0.048 0.001 0.005 0.012 0.044 0.002 0.005 0.012 0.051 0.002 0.008 0.008 0.057 0.001 0.005 0.007 0.041 0.001 0.006 0.011 0.044 0.001 0.009 0.013 0.057 0.002 0.008
